inner_ID,Ligand SMILES,IC50 (nM),ref,onlyligand_token
id_1654,Cc1nc(CN2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccc(F)cc34)C2)c[nH]1,306.6624045,Moonshot,"['C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'N1']"
id_7488,CC(C)(C)C1=CC=C(C=C1)N(/C(=C/2\C=CC=NC2=O)/C(=O)NCCC3=CC(=CC=C3)F)C(=O)C4=COC=N4,99500,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'O0', 'C0', 'C0', 'O0', 'C3', 'N1']"
id_4136,C1C(C2=C(C=CC(=C2)Cl)C(=O)N1)C(=O)NC3=C4C=CC=CN4N=C3,7090,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'O0', 'N1', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0']"
id_4122,CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OC)NC(=O)CCl,6960,Pubchem&Chembl,"['C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Cl6']"
id_3438,N#Cc1cnn(C(=O)c2cccs2)c1C1CC1,3237.659799,Moonshot,"['N7', 'C3', 'C0', 'C0', 'N1', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'S2', 'C0', 'C0', 'C0', 'C0']"
id_7554,CC(C1=NN=C2N1C=CC=C2)NC(=O)C3=C(N=C4N3C=CC=C4)Cl,99500,Pubchem&Chembl,"['C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'Cl6']"
id_7472,C1COCC2=C1C=C(C=C2)N(C(C3=CN=CC=C3)C(=O)NCCC4=CC(=CC=C4)F)C(=O)C5=COC=N5,99500,Pubchem&Chembl,"['C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'O0', 'C0', 'C0', 'O0', 'C3', 'N1']"
id_2624,C1CC1[N+]2=C3C=CC(C=C3C(=O)N(C2=O)C4=CN=CC5=CC=CC=C54)C(F)(F)F,1100,Pubchem&Chembl,"['C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1']"
id_4016,O=C(Nc1ccc2c(c1)B(O)OC2)c1cccc(OCc2ccccc2)c1,6100,Pubchem&Chembl,"['O0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'B2', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_3564,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)CCC#N,3800,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C3', 'N7']"
id_5424,COC1=CC2=C(C=C1)N=NN2CC(=O)N(CC3=CC=CC=N3)C4=CC=C(C=C4)C5CCNCC5,32200,Pubchem&Chembl,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0']"
id_2151,COC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,572.747206,Moonshot,"['C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0']"
id_6456,CC1=C(C=NC=C1)NC(=O)CN2CCN(CC2)C(=O)C,99000,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'O0', 'C0']"
id_7284,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)C1COc2cc(F)ccc21,99500,Moonshot,"['O0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'O0', 'C3', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0']"
id_3992,Cc1ccn([C@H](CC2CC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C#N)c(=O)c1NC(=O)OC(C)(C)C,6000,BindingDB,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C3', 'N7', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0']"
id_1347,COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,214.8850856,Moonshot,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'S6', 'O0', 'O0', 'C0', 'C0', 'C3', 'N7', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0']"
id_200,CC1([C@@H]2[C@H]1[C@@H](N(C2)C(=O)COC3=CC(=C(C=C3)F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C=O)C,13,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C3', 'O0', 'C0']"
id_6995,Cc1nc2cc(NC(=O)Cn3cnc4c(cnn4C)c3=O)ccc2o1,99500,Moonshot,"['C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0']"
id_3228,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC(=C2)C#N)C(=O)NCCC3=CC(=CC=C3)F)C(=O)C=C,2470,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C3', 'N7', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'O0', 'C0', 'C3']"
id_2520,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4cccc(Cl)c34)C2)CS(=O)(=O)C1,957.2962007,Moonshot,"['C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'C0']"
id_911,CNC(=O)c1ccc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C)CS(=O)(=O)C4)Cc4ccc(Cl)cc43)c2c1,110.3671684,Moonshot,"['C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'N1', 'S6', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0']"
id_6113,Clc1cccc(NC(=O)Cn2cnc3ccccc23)c1,87200,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
